Matricule	#1		#2		#3		#4		Note (/10)
?487040		0.8		0.8		3.0		5.0		9.6
?019854		1.0		0.9		3.0		5.0		9.9
?041348		0.9		0.9		3.0		5.0		9.8
?143908		1.0		1.0		2.95		5.0		9.95
?695839		1.0		1.0		3.0		5.0		10.0
?117465		1.0		1.0		3.0		5.0		10.0
?071802		1.0		1.0		3.0		5.0		10.0
?080362		0.5		0.9		3.0		5.0		9.4
?093613		1.0		1.0		3.0		5.0		10.0
?089027		0.5		1.0		3.0		5.0		9.5
?070643		1.0		1.0		3.0		5.0		10.0
?109837		1.0		0.8		3.0		5.0		9.8
?120382		1.0		1.0		3.0		5.0		10.0
Moyenne:	0.9		0.9461		2.9961		5.0		9.8423
