Matricule	#1		#2		#3		Note (/10)
?075447		2.0		4.0		4.0		10.0
?065143		2.0		4.0		4.0		10.0
?835945		2.0		4.0		4.0		10.0
?107234		2.0		4.0		4.0		10.0
?035275		0.0		4.0		4.0		8.0
?074801		2.0		4.0		4.0		10.0
?205936		2.0		4.0		4.0		10.0
?085764		0.0		2.5		4.0		6.5
?116135		1.75		1.25		4.0		7.0
?053307		2.0		4.0		4.0		10.0
?081857		0.0		3.5		4.0		7.5
?031180		1.5		4.0		4.0		9.5
?101338		1.75		4.0		4.0		9.75
?062976		0.0		4.0		4.0		8.0
?007803		1.5		4.0		3.75		9.25
?098086		2.0		4.0		4.0		10.0
?052923		0.0		4.0		4.0		8.0
?064947		0.0		3.5		4.0		7.5
Moyenne:	1.25		3.7083		3.9861		8.9444
