Matricule	#1	#2	#3	#4	#5	Note (/20)
?068355		3.0	3.25	3.5	5.0	1.9	16.65
?133651		2.5	1.5	2.75	3.0	2.25	12.0
?057955		3.6	3.25	4.0	3.75	3.0	17.6
?095659		2.25	2.25	3.2	1.75	1.5	10.95
?835945		4.0	3.5	3.55	5.0	1.5	17.55
?109837		3.7	2.0	3.05	2.5	2.15	13.4
?262609		3.25	3.5	3.55	5.0	2.9	18.2
?065143		3.75	3.5	4.0	4.5	2.65	18.4
?101338		3.5	4.0	3.1	3.5	3.0	17.1
?143908		3.9	3.25	4.0	5.0	1.4	17.55
?031180		3.75	3.25	3.85	5.0	1.75	17.6
?041348		3.1	3.0	2.8	4.0	1.5	14.4
?038112		2.25	3.25	3.85	4.75	2.65	16.75
?053980		1.5	3.5	2.45	2.75	1.5	11.7
?075971		3.2	1.0	2.6	5.0	2.0	13.8
?664060		2.7	3.25	4.0	3.85	1.0	14.8
?044043		0.75	3.0	4.0	4.1	2.0	13.85
?053307		3.35	1.5	4.0	4.9	2.0	15.75
?201319		3.75	2.5	2.95	3.5	2.15	14.85
?079646		2.95	1.0	4.0	3.75	1.4	13.1
?007803		3.75	2.0	3.85	4.25	1.5	15.35
?180895		3.75	1.0	3.55	2.5	2.0	12.8
?062976		3.0	3.0	4.0	2.35	1.25	13.6
?076079		1.4	2.25	3.4	4.25	2.15	13.45
?123997		3.75	3.75	4.0	3.5	2.65	17.65
?116017		0.75	0.5	4.0	2.75	0.5	8.5
?081644		3.5	3.5	3.85	4.0	2.75	17.6
Moyenne:	2.99	2.64	3.55	3.86	1.96	15.00
