Matricule	#1	#2	#3	#4	#5	#6	#7	Note (/40)
?107234		6.9	3.25	2.25	5.0	5.5	4.5	6.5	33.9
?205936		5.5	2.95	0.75	4.5	3.5	3.0	4.5	24.7
?007803		3.0	2.5	0.5	4.0	2.0	2.5	3.5	18.0
?074801		5.65	3.2	3.5	5.5	4.5	4.5	6.25	33.1
?065143		5.4	3.7	3.5	5.75	6.0	3.5	4.5	32.35
?052923		2.0	1.25	0.0	3.0	2.0	2.25	3.0	13.5
?075447		6.0	4.05	2.5	6.0	5.5	4.0	5.0	33.05
?053307		6.5	4.45	3.25	3.0	5.0	3.5	4.5	30.2
?116135		6.65	3.75	1.5	3.5	6.0	4.0	1.0	26.4
?081857		3.4	3.9	0.5	5.5	1.5	2.5	4.0	21.3
?835945		5.5	3.7	2.25	4.75	2.0	4.75	5.0	27.95
?031180		5.9	2.85	3.5	5.75	4.0	4.0	4.0	30.0
?064947		3.5	3.15	1.25	5.25	2.0	3.5	4.5	23.15
?101338		6.9	4.75	2.25	5.0	5.0	4.5	6.5	34.9
?062976		6.0	1.95	0.75	3.75	2.0	4.0	4.5	22.95
?098086		6.4	4.5	1.75	5.5	5.5	4.25	5.0	32.9
?035275		3.0	3.15	1.25	0.5	1.5	2.25	1.0	12.65
?085764		5.9	4.25	1.75	4.75	5.0	4.0	5.5	31.15
Moyenne:	5.23	3.41	1.83	4.50	3.81	3.64	4.38	26.79
